Item,Price
This Bar Saves Lives™ Madagascar Vanilla Almond & Honey Bar,$2.85
Chips tortilla,$2.27
KIND Blueberry Vanilla and Cashew Bar,$2.65
KIND Blueberry Vanilla Cashew,$2.65
That's It® – Apple + Blueberry Bar,$2.25
That's It - Apple & Blueberry Bar,$2.25
Perfect Bar Peanut Butter,$4.76
Berry Trio Yogurt,$4.89
Sigg's® yogurt cup 0% vanilla,$2.88
Siggi's 0% Vanilla Yogurt,$2.89
Lemon Crunch Yogurt Perfect,$5.06
Sprouted Grain Vegan Bagel,$2.39
Ham & Cheese Savory Foldover,$3.45
Iced Lemon Pound Cake,$3.41
Wheat Spinach Savory Foldover,$3.45
Everything Bagel,$3.16
Cinnamon Raisin Bagel,$2.46
Pepperoni & Tomato Savory Foldover,$3.45
Peppermint Brownie Cake Pop,$3.68
Iced Lemon Loaf,$4.80
Plain Bagel,$3.03
Chocolate Chip Cookie Dough Cake Pop,$2.69
Birthday Cake Pop,$2.99
Cookies and Cream Cake Pop,$3.94
Blueberry Streusel Muffin,$4.40
Iced Lemon Loaf Cake,$3.06
Classic Coffee Cake,$3.92
Chocolate Cake Pop,$3.47
bacon and guada,$3.95
Lime-Frosted Coconut Bar,$3.85
Vanilla Bean Custard Danish,$4.89
Lemon Cake Pop,$2.61
Red Velvet Loaf Cake,$3.68
Unicorn Cake Pop,$3.63
Cat Cake Pop,$2.70
Valentine Cake Pop,$2.71
Double Chocolate Chunk Brownie,$3.10
Pumpkin and Pepita Loaf,$4.79
Sugar Plum Cheese Danish,$4.46
Chocolate Chip Cookie,$2.73
Confetti Sugar Cookie,$3.27
Coffee Cake,$2.95
Cinnamon Coffee Cake,$4.58
Orange Cream Cake Pop,$4.34
Butter Croissant,$3.53
Washington Apple Pound Cake,$2.95
Raccoon Cake Pop,$4.33
Chocolate Croissant,$3.83
Banana Walnut and Pecan Loaf,$4.79
Almond Croissant,$3.54
Snowman Cookie,$3.57
Cheese Danish,$3.65
White Chocolate Cookie Crème,$3.45
Glazed Doughnut,$3.32
Marshmallow Dream Bar,$3.04
Old-Fashioned Glazed Doughnut,$2.59
Pineapple Cloud Cake,$4.61
Baked Apple Croissant,$4.95
Banana Nut Bread,$3.28
Bumblebee Cake Pop,$3.80
Blueberry Muffin,$3.20
Morning Bun,$3.50
Cranberry Bliss® Bar Tray,$18.32
Pumpkin Bread,$3.95
Cranberry Bliss Bar®,$3.84
Pumpkin Cream Cheese Muffin,$3.60
Morning Muffin,$3.32
Blueberry Scone,$3.40
Double Chocolate Brownie,$4.34
Petite Vanilla Bean Scone,$2.09
Pumpkin Scone,$3.12
Everything Bagel with Cheese,$2.18
Gingerbread Loaf,$5.04
Veranda Blend®,$12.54
Starbucks® Blonde Espresso Roast,$15.08
Pike Place® Roast Whole Bean,$17.43
Ancient Guatemala,$18.33
Organic Yukon Blend®,$15.95
Passport Series: Guatemala Almost Cielo® Antigua,$17.25
Passport Series: Kenya,$17.25
Siren's Blend™,$15.09
Italian Roast,$17.07
Espresso Roast,$17.06
Decaf Espresso Roast,$19.36
Caffè Verona®,$15.73
Komodo Dragon Blend®,$16.86
Sumatra,$18.00
Decaf Sumatra,$17.25
Passport Series: Sundried Ethiopia Sidama,$17.25
VIA® Sweetened Iced Coffee,$6.85
